city,lat,long,maxtemp,humidity,cloudiness,windspeed,date
Cancún,21.1743,-86.8466,78.73,100,20,0.0,1659702612
Margate,51.3813,1.3862,72.9,43,1,1.99,1659702618
Atambua,-9.1061,124.8925,71.28,89,100,3.4,1659702805
Kot Radha Kishan,31.1725,74.0997,78.91,69,100,9.91,1659702805
Chara,56.9064,118.2631,49.93,89,44,1.52,1659702806
Karratha,-20.7377,116.8463,67.78,48,0,9.57,1659702806
Takaka,-40.85,172.8,57.56,92,100,9.01,1659702806
Christchurch,-43.5333,172.6333,66.4,43,100,19.57,1659702751
Praia,14.9215,-23.5087,84.74,61,20,16.11,1659702807
Farmington,36.7281,-108.2187,65.08,94,0,4.61,1659702791
Novoagansk,61.9449,76.6625,74.01,51,75,12.03,1659702807
Palu,-0.8917,119.8707,76.1,97,76,0.94,1659702807
Owando,-0.4819,15.8999,92.8,34,100,3.42,1659702808
Kala Nera,39.3063,23.12,91.96,49,0,8.03,1659702808
Cockburn Town,21.4612,-71.1419,81.93,76,100,21.5,1659702645
Vila do Maio,15.1333,-23.2167,84.99,81,40,8.12,1659702808
Sioux Lookout,50.1001,-91.917,64.47,77,75,11.5,1659702809
Betsiamites,48.9413,-68.646,64.49,57,0,7.76,1659702809
Beloha,-25.1667,45.05,77.88,41,0,13.87,1659702809
Bonthe,7.5264,-12.505,80.02,78,98,13.49,1659702810
Bubaque,11.2833,-15.8333,77.54,88,100,11.59,1659702810
Rafai,4.95,23.9167,83.89,61,100,1.54,1659702810
Ocós,14.5094,-92.1933,73.58,82,100,4.63,1659702811
Sibolga,1.7427,98.7792,78.4,70,100,2.93,1659702811
Asău,46.4333,26.4,79.72,46,90,3.74,1659702811
Inhambane,-23.865,35.3833,80.58,65,20,11.5,1659702812
Nyrob,60.733,56.7202,77.4,47,98,4.5,1659702812
Hluk,48.9881,17.5267,95.74,27,0,5.99,1659702812
Maniitsoq,65.4167,-52.9,43.02,95,100,31.12,1659702813
Dongsheng,39.8161,109.9776,82.08,33,3,6.46,1659702813
Guerrero Negro,27.9769,-114.0611,68.81,91,1,9.78,1659702813
Maba,24.6841,113.5984,76.59,95,99,3.04,1659702813
Iona,26.5204,-81.964,82.98,87,0,4.61,1659702814
Jiayuguan City,39.8167,98.3,85.14,24,100,8.61,1659702814
Den Helder,52.9599,4.7593,69.96,66,75,21.0,1659702814
Kudahuvadhoo,2.6708,72.8944,82.18,76,100,15.57,1659702815
Pitkyaranta,61.5734,31.4792,71.28,57,1,10.65,1659702815
Cabo San Lucas,22.8909,-109.9124,84.51,64,0,10.36,1659702815
Kachug,53.9606,105.8817,53.46,72,12,5.1,1659702816
Grindavik,63.8424,-22.4338,55.35,93,100,17.27,1659702816
İslahiye,37.025,36.6306,101.75,23,0,8.95,1659702816
Khasan,42.4308,130.6434,73.42,97,100,2.42,1659702604
Béboto,8.2668,16.939,78.15,87,99,4.03,1659702817
Grand Baie,-20.0182,57.5802,75.67,59,1,8.99,1659702817
Novy Urengoy,66.0833,76.6333,69.48,48,24,12.21,1659702817
Nsanje,-16.92,35.262,89.69,22,0,5.3,1659702823
Kitob,39.0843,66.8332,92.43,15,2,10.0,1659702823
Makkah al Mukarramah,21.4267,39.8261,100.87,30,86,17.96,1659702754
Meulaboh,4.1363,96.1285,79.2,79,95,1.83,1659702715
Olden,61.8364,6.8064,58.12,56,58,5.61,1659702824
Kirakira,-10.4544,161.9205,79.25,84,64,8.7,1659702824
Yinchuan,38.4681,106.2731,91.8,36,38,6.26,1659702789
Zhalantun,48.0,122.7167,68.59,60,3,5.35,1659702824
Koumac,-20.5667,164.2833,72.88,87,9,0.87,1659702825
Alice Springs,-23.7,133.8833,49.55,46,0,0.0,1659702670
Inverness,57.4791,-4.224,63.79,56,40,10.36,1659702825
